SYSTEM,CET,BENCH0,BENCH1,BENCH2,BENCH3,BENCH4,BENCH5
SPR,1,1475753,66608,7551201,791004,1055769,5495508
TGL,1,1350992,58083,5579300,709624,811189,4666208
SPR,1,1445148,65333,7660089,781465,1009885,5537057
TGL,1,1289105,58880,5513008,712789,816377,4673085
SPR,1,1445456,80254,7495063,872613,1015604,5568957
TGL,1,1272186,58782,5566856,671191,829781,4622022
SPR,1,1541341,67199,7497987,793524,1022675,5461587
TGL,1,1318739,59002,5545751,668117,825457,4621774
SPR,1,1451366,67508,7564067,786434,1116961,5659802
TGL,1,1289718,59417,5542042,667673,823135,4795417
SPR,1,1453347,66994,7472279,874613,1023798,5532814
TGL,1,1277054,59080,5557461,662703,863889,4778687
SPR,1,1436620,67265,7489755,781169,1029268,5546699
TGL,1,1295826,59561,5585089,705809,830762,4655000
SPR,1,1434750,67045,7548146,892720,1018120,5558259
TGL,1,1323818,59526,5553902,710414,827619,4621958
SPR,1,1445140,66032,7537300,788644,1106423,5598978
TGL,1,1292534,60335,5669413,733339,831950,4660546
SPR,1,1450050,67016,7488266,779491,1008068,5587996
TGL,1,1275233,59225,5593435,728327,826184,4692271
SPR,1,1418699,66873,7529200,793345,1013199,5482993
TGL,1,1284846,59871,5590129,800838,879227,4718578
SPR,1,1435857,67131,7645587,787337,1118815,5550713
TGL,1,1284659,58959,5548046,704708,828821,4636195
SPR,1,1444508,67292,7511478,779008,1010789,5478905
TGL,1,1286399,58656,5585850,665354,810420,4779329
SPR,1,1446827,66847,7539250,886026,1011940,5677893
TGL,1,1322163,58453,5721881,640061,849389,4688099
SPR,1,1454229,67504,7479152,787839,1041335,5628312
TGL,1,1239692,58403,5589514,661923,864470,4627385
SPR,1,1421847,67653,7543933,786530,1027830,5526714
TGL,1,1238801,59743,5587638,668974,924223,4642469
SPR,1,1449450,68186,7540249,889758,1107265,5517705
TGL,1,1240351,60241,5521721,666812,868153,4669760
SPR,1,1452355,67315,7444062,787569,1022871,5500546
TGL,1,1233050,60307,5742890,640344,884540,4661504
